Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
591989399,"[AMINO MICELLAR MỚI] Nước tẩy trang làm sạch sâu, loại bỏ bụi bẩn & trang điểm 3-in-1 L'Oreal Paris Micellar Water 400ml","189,0k",3tr+,L'Oreal Paris Official Store,"7,5%",₫13.230,https://shopee.vn/product/37251933/591989399,https://s.shopee.vn/4VcTRYbFjc
42466018491,Ốp Lưng iPhone TPU Đệm Nhung Chống Bẩn Bảo Vệ Camera 6/6plus/7/8/plus/x/xs/11/12/13/14/15/16/17/pro/plus/promax  R1-2,"41,1k",300k+,ỐP LƯNG IPHONE -SIÊU THỊ AWiFi,"12,5%",₫4.928,https://shopee.vn/product/7669738/42466018491,https://s.shopee.vn/4LJ3FFbt4b
43670888876,"Cây Lau Nhà Tự Vắt KITIMOP CORAL Mã KTMC-01, Chổi Lau Nhà Tự Vắt Thông Minh Xoay 360 Độ, 2 Bông Lau","189,0k",200k+,Kitimop Official Store,"5,5%",₫9.450,https://shopee.vn/product/76219330/43670888876,https://s.shopee.vn/4Azd2wcWPa
27603421159,"Bịch 100 miếng lót thấm hút sữa OMMA chống tràn tối đa, từ sợi organic an toàn lành tính","100,0k",300k+,TopGiaKids Official Store VN,"11,5%",₫11.000,https://shopee.vn/product/977696379/27603421159,https://s.shopee.vn/40gCqdd9kZ
14613920375,[Rom&nd] Son Tint lì cho môi căng mọng Hàn Quốc Romand Juicy Lasting Tint 5.5g,"189,0k",700k+,Romand_Official Store,"9,5%",₫17.010,https://shopee.vn/product/590427230/14613920375,https://s.shopee.vn/5AsAEmYiNo
2608753400,Kính Cường Lực iPhone KK 4D Cao Cấp Full Màn iPhone 6/6s/7/8/Plus/X/XS/XR/11/12/13/14/15/16/17/Pro/Max/Mini/Air,"27,9k",2tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,"24,5%",₫6.696,https://shopee.vn/product/89827191/2608753400,https://s.shopee.vn/50Yk2TZLin
24819102380,SET 3 CUỘN TÚI ĐỰNG RÁC TỰ PHÂN HỦY SINH 55x65 cm,"8,3k",600k+,Shop Đồ Gia Dụng Linh Chi,"5,5%",₫415,https://shopee.vn/product/1205484883/24819102380,https://s.shopee.vn/4qFJqAZz3m
16694648770,(Chọn Loại) Tương Ớt CHIN-SU (Bao bì có thể thay đổi theo đợt nhập hàng),"23,0k",500k+,MASAN CONSUMER OFFICIAL,"4,5%",₫920,https://shopee.vn/product/987373161/16694648770,https://s.shopee.vn/4fvtdracOl
21494586018,"[Combo 100 Cái] Khẩu Trang 5D Tấn Phát Chính Hãng 3 Lớp, Chống Bụi Mịn, Không Lem Son","35,0k",900k+,Thành Nhân SG,"7,5%",₫2.450,https://shopee.vn/product/577452794/21494586018,https://s.shopee.vn/3B75r6gKRU
4558611128,"Khăn mặt khô Chillwipes dùng 1 lần lau khô, lau ướt - Giấy lau mặt dùng một lần","29,5k",4tr+,Chillwipes,"2,5%",₫590,https://shopee.vn/product/305173609/4558611128,https://s.shopee.vn/30nfengxmT
23760107521,"Cây Lau Bàn Bếp Tự Vắt Mini Đa Năng Bọt Biển Thấm Hút Thông Minh, Dụng Cụ Lau Dọn Gấp Gọn","27,9k",80k+,Homebox - Thế Giới Tiện Ích,"7,5%",₫1.950,https://shopee.vn/product/534730986/23760107521,https://s.shopee.vn/2qUFSUhb7S
5278589476,Dầu dừa tinh khiết Organic VIETCOCO chai PET 250ml,"61,2k",1tr+,Vietcoco - Tinh Hoa Dừa Việt,"12,5%",₫7.339,https://shopee.vn/product/60414205/5278589476,https://s.shopee.vn/2gApGBiESR
